"DBN","school_name","Num of SAT Test Takers","SAT Critical Reading Avg. Score","SAT Math Avg. Score","SAT Writing Avg. Score","avg_sat_score","AP Test Takers","Total Exams Taken","Number of Exams with scores 3 4 or 5","exams_per_student","high_score_percent","CSD","SCHOOL CODE","avg_class_size","avg_largest_class","avg_smallest_class","frl_percent","ell_percent","sped_percent","asian_per","black_per","hispanic_per","white_per","male_per","female_per","total_enrollment","Total Grads - % of cohort","Dropped Out - % of cohort","lat","long"
"24Q530","INTERNATIONAL HIGH SCHOOL AT LAGUARDIA COMMUNITY COLLEGE",69,326,409,329,1064,NA,NA,NA,NA,NA,24,"Q530",17.0076923076923,20.4615384615385,14.3076923076923,75.7,76.5,0,43,2,44,10.3,46,54,493,48.4,8.1,40.7441495360005,-73.9336267409997
"24Q550","HIGH SCHOOL FOR ARTS AND BUSINESS",138,391,403,380,1174,198,320,73,1.61616161616162,22.8125,24,"Q550",27.4055555555556,31.7777777777778,19.7777777777778,69.6,13.3,12.2,9.1,8.3,79.2,3,43.1,56.9,828,67.4,9.1,40.7374181700005,-73.8533057299996
"24Q560","ROBERT F. WAGNER, JR. SECONDARY SCHOOL FOR ARTS AND TECHNOLOGY",80,443,447,440,1330,NA,NA,NA,NA,NA,24,"Q560",26.5,28.7058823529412,24.4117647058824,60.5,3.8,12.3,20.8,6.2,62.4,10.5,46.6,53.4,601,62.1,4.2,40.7422635150004,-73.9368761209997
"24Q600","QUEENS VOCATIONAL AND TECHNICAL HIGH SCHOOL",155,417,447,406,1270,27,27,20,1,74.0740740740741,24,"Q600",28.45625,33.625,20.0625,71.9,6.4,13.7,10.2,6.9,74.2,8.7,60.3,39.7,1368,70.8,10.7,40.7421886940005,-73.9282432919997
"24Q610","AVIATION CAREER & TECHNICAL EDUCATION HIGH SCHOOL",396,445,496,423,1364,130,140,61,1.07692307692308,43.5714285714286,24,"Q610",28.1611111111111,32.9444444444444,19.4444444444444,61.2,3.2,5.3,27.1,6.8,55.3,10.1,85.3,14.7,2201,74.5,1.4,40.7435936440005,-73.9290778649997
"24Q744","VOYAGES PREPARATORY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59.1,3.6,6,8.1,23,61.7,6.9,50.4,49.6,248,11.8,11.8,NA,NA
"25Q252","QUEENS SCHOOL OF INQUIRY, THE",58,455,498,443,1396,NA,NA,NA,NA,NA,25,"Q252",24.5866666666667,28.3333333333333,21.1333333333333,41.3,2.7,11.8,40.2,17,24.2,18.1,46.7,53.3,587,NA,NA,40.7245229840005,-73.8094279899997
"25Q263","FLUSHING INTERNATIONAL HIGH SCHOOL",45,314,417,318,1049,NA,NA,NA,NA,NA,25,"Q263",19.1923076923077,27.0769230769231,14.8461538461538,84.1,88.6,0.7,64.5,1.2,32.7,1.7,57.3,42.7,422,59.3,10.5,40.7604141700005,-73.8183762779997
"25Q281","EASTsWEST SCHOOL OF INTERNATIONAL STUDIES",59,416,463,392,1271,NA,NA,NA,NA,NA,25,"Q281",28.9333333333333,32.4666666666667,25.6666666666667,53.3,13.6,9.4,62.7,14.8,17.9,3.4,54.1,45.9,616,85.3,0,40.7493028050005,-73.8218081059996
"25Q285","WORLD JOURNALISM PREPARATORY: A COLLEGE BOARD SCHOOL",63,471,489,481,1441,65,87,18,1.33846153846154,20.6896551724138,25,"Q285",25.0473684210526,28.0526315789474,21.9473684210526,33.5,0.8,17.8,19.3,8.4,20.3,51.6,42.2,57.8,595,86.6,1.2,40.7651232730005,-73.7900596759997
"25Q425","JOHN BOWNE HIGH SCHOOL",558,397,451,395,1243,176,229,116,1.30113636363636,50.6550218340611,25,"Q425",29.385,34,18.4,68.2,24.7,9.8,34.3,19.2,40.7,5.2,49.2,50.8,3660,56.1,20.6,40.7386972030005,-73.8247948209997
"25Q460","FLUSHING HIGH SCHOOL",347,393,441,382,1216,324,424,136,1.30864197530864,32.0754716981132,25,"Q460",30.0263157894737,34.5263157894737,19.6842105263158,67.6,20,11.7,19.9,26.5,49.8,3.2,55.8,44.2,3113,56.5,20.7,40.7652434710005,-73.8278552819996
"25Q467","FLUSHING YABC",9,378,373,344,1095,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25Q525","TOWNSEND HARRIS HIGH SCHOOL",278,621,651,638,1910,613,796,625,1.29853181076672,78.5175879396985,25,"Q525",29.3625,33.125,22.75,29.2,0,0.2,55.5,5.9,12.9,24.6,28.9,71.1,1140,100,0,40.7344084100005,-73.8214174829996
"25Q540","QUEENS ACADEMY HIGH SCHOOL",17,398,382,388,1168,NA,NA,NA,NA,NA,25,"Q540",24.21,31.1,16.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,10.6,NA,NA
"25Q670","ROBERT F. KENNEDY COMMUNITY HIGH SCHOOL",99,431,458,441,1330,77,112,43,1.45454545454545,38.3928571428571,25,"Q670",30.3166666666667,33.3888888888889,25.2777777777778,46.4,7.5,18.4,28.4,11.5,35.4,24.5,53.8,46.2,721,56.6,8.2,40.7256031610005,-73.8107211469996
"25Q792","NORTH QUEENS COMMUNITY HIGH SCHOOL",7,379,421,377,1177,NA,NA,NA,NA,NA,25,"Q792",19.86875,23.75,15.875,54.1,1.5,11.6,10.1,42.4,33.3,14.1,45.5,54.5,198,19.4,11.3,NA,NA
"26Q415","BENJAMIN N. CARDOZO HIGH SCHOOL",888,480,545,489,1514,676,1145,796,1.69378698224852,69.5196506550218,26,"Q415",31.1052631578947,33.8947368421053,19.0526315789474,37.3,6.1,11.5,45.7,18.4,18.6,16.8,47.4,52.6,3912,80.1,4.5,40.7523924240005,-73.7560833579997
"26Q430","FRANCIS LEWIS HIGH SCHOOL",934,468,539,467,1474,697,1033,583,1.48206599713056,56.4375605033882,26,"Q430",30.2368421052632,34.2631578947368,17.3684210526316,51.6,13.2,12.3,51.9,8.3,24.1,15.5,49.2,50.8,4152,74.2,5.1,40.7405557140005,-73.7928481459996
"26Q435","MARTIN VAN BUREN HIGH SCHOOL",334,391,397,384,1172,71,101,15,1.42253521126761,14.8514851485149,26,"Q435",27.125,32.95,17,38.2,9.9,11.5,24.1,56.4,15.1,2.9,54.3,45.7,2390,62.8,8.5,40.7328171090005,-73.7396504129997
"26Q495","BAYSIDE HIGH SCHOOL",708,462,523,464,1449,480,686,413,1.42916666666667,60.2040816326531,26,"Q495",32.4052631578947,34.0526315789474,25.1578947368421,52.4,5.7,10.6,45.2,12.7,22.3,19.6,49.4,50.6,3308,80.2,6.4,40.7718672420005,-73.7803869519997
"26Q566","QUEENS HIGH SCHOOL OF TEACHING, LIBERAL ARTS AND THE SCIENCES",175,425,434,420,1279,NA,NA,NA,NA,NA,26,"Q566",28.9833333333333,32.6111111111111,23,39.5,2.5,13.9,23.8,46.3,16.8,12.3,45.8,54.2,1196,83.6,3.2,40.7449043610005,-73.7269096419997
"27Q260","FREDERICK DOUGLASS ACADEMY VI HIGH SCHOOL",87,387,385,373,1145,NA,NA,NA,NA,NA,27,"Q260",24.5642857142857,29,18.1428571428571,57.1,4,13.9,3.8,67,27,1.3,52.6,47.4,445,71.6,4.2,40.6019893360005,-73.7628343229996
"27Q262","CHANNEL VIEW SCHOOL FOR RESEARCH",74,432,419,401,1252,43,69,18,1.6046511627907,26.0869565217391,27,"Q262",26.3823529411765,30.0588235294118,21.4705882352941,58,1.3,10.5,5.7,55.2,27.5,11.2,51.1,48.9,636,94.4,0,40.5860071870004,-73.8230894439996
"27Q302","QUEENS HIGH SCHOOL FOR INFORMATION, RESEARCH, AND TECHNOLOGY",44,391,401,364,1156,NA,NA,NA,NA,NA,27,"Q302",23.2769230769231,27.7692307692308,18.2307692307692,75.7,10.6,16.1,4.2,60.3,30,4.5,54.5,45.5,310,NA,NA,40.6019893360005,-73.7628343229996
"27Q308","ROBERT H. GODDARD HIGH SCHOOL OF COMMUNICATION ARTS AND TECHNOLOGY",93,423,426,416,1265,NA,NA,NA,NA,NA,27,"Q308",30.1166666666667,32.3888888888889,28.1666666666667,66.4,3.6,15.9,26.8,7.6,42.6,21.8,48.1,51.9,578,NA,NA,40.6717694780005,-73.8449777389996
"27Q309","ACADEMY OF MEDICAL TECHNOLOGY: A COLLEGE BOARD SCHOOL",36,367,379,348,1094,NA,NA,NA,NA,NA,27,"Q309",23.3272727272727,26.7272727272727,19.4545454545455,64.2,10.6,14,9.1,52.6,34.2,3.2,43.8,56.2,527,NA,NA,40.6019893360005,-73.7628343229996
"27Q323","SCHOLARS' ACADEMY",89,499,537,496,1532,55,121,57,2.2,47.1074380165289,27,"Q323",25.9384615384615,30.4615384615385,19.6923076923077,35.9,0,1,22,19.2,15.9,41.6,43.9,56.1,1062,NA,NA,40.5841313740005,-73.8256812119997
"27Q400","AUGUST MARTIN HIGH SCHOOL",101,377,371,360,1108,19,28,NA,1.47368421052632,NA,27,"Q400",28.7777777777778,33.6666666666667,22.2777777777778,65.1,4.3,16.5,6.2,79.9,11.5,1.7,55.2,44.8,1029,53.5,16.7,40.6755268090005,-73.7834325129996
"27Q410","BEACH CHANNEL HIGH SCHOOL",78,384,396,354,1134,NA,NA,NA,NA,NA,27,"Q410",29.4157894736842,32.2105263157895,24.1578947368421,65.5,11.3,21.8,2,46.8,44.3,6.3,57.5,42.5,684,48.6,15.7,NA,NA
"27Q475","RICHMOND HILL HIGH SCHOOL",404,382,404,368,1154,142,170,55,1.19718309859155,32.3529411764706,27,"Q475",29.95,33.3888888888889,21.8333333333333,61.8,17.4,13.7,32.9,16.8,46.4,3.2,53,47,2585,52,19.8,40.6956492220005,-73.8335848049996
"27Q480","JOHN ADAMS HIGH SCHOOL",403,391,409,392,1192,140,168,33,1.2,19.6428571428571,27,"Q480",27.3157894736842,34.6842105263158,17.8947368421053,75.5,16,12.1,27.5,27.7,37.1,3.6,54.5,45.5,3386,56.9,17.6,40.6798314010004,-73.8383226639996
"27Q650","HIGH SCHOOL FOR CONSTRUCTION TRADES, ENGINEERING AND ARCHITECTURE",194,429,491,425,1345,91,109,21,1.1978021978022,19.2660550458716,27,"Q650",26.8470588235294,31.2352941176471,20.4117647058824,53.7,0.4,5.8,30.7,11.3,41.6,15.4,67.3,32.7,924,88.1,1.1,40.6893968260005,-73.8406410009997
"28Q284","YORK EARLY COLLEGE ACADEMY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28,"Q284",25.1090909090909,28.5454545454545,21.7272727272727,60.2,0,9.6,23.5,64.2,10.2,0.6,51.1,48.9,489,NA,NA,40.6969373580005,-73.7869815409996
"28Q310","QUEENS COLLEGIATE: A COLLEGE BOARD SCHOOL",68,420,445,400,1265,NA,NA,NA,NA,NA,28,"Q310",22.5285714285714,25.8571428571429,19.2142857142857,61.5,8.1,12.3,27,49,18.5,3,49.9,50.1,529,NA,NA,40.7135774590005,-73.7965178249996
"28Q325","HILLSIDE ARTS & LETTERS ACADEMY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28,"Q325",22.75,24.25,21.25,65.6,12.5,11,28,39,21,6.5,47,53,200,NA,NA,40.7135774590005,-73.7965178249996
"28Q338","QUEENS SATELLITE HIGH SCHOOL FOR OPPORTUNITY",6,403,408,367,1178,NA,NA,NA,NA,NA,28,"Q338",27.5538461538462,31.0769230769231,22.6153846153846,74.5,2,6,2.4,61.4,17.5,10,45.4,54.6,251,NA,NA,NA,NA
